id,title,severity,status,assignee_id,module_id,blocks_release_id
BUG-037,APIゲートウェイの認証トークン検証が遅い,high,open,ENG-022,MOD-015,REL-002
BUG-038,通知サービスでiOS/Android両方に二重送信される,critical,open,ENG-016,MOD-016,REL-005
BUG-039,データパイプラインで欠損値の処理が不正,medium,open,ENG-012,MOD-009,
BUG-040,推薦モデルの再学習後にスコアが逆転する,critical,open,ENG-013,MOD-011,REL-009
BUG-041,SQLインジェクションの脆弱性が検出された,critical,open,ENG-011,MOD-001,REL-002
BUG-042,XSS脆弱性がコメント投稿フォームに存在,high,open,ENG-019,MOD-004,REL-002
BUG-043,APIキーがログに平文で出力される,critical,open,ENG-022,MOD-015,REL-002
BUG-044,セッションフィクセーション攻撃が可能,high,open,ENG-011,MOD-001,REL-003
BUG-045,管理画面へのアクセス制御が不十分,critical,open,ENG-019,MOD-007,REL-010
BUG-046,Backendチームのビルド時間が10分を超える,medium,in_progress,ENG-024,MOD-001,
BUG-047,ユニットテストのカバレッジが60%を下回る,medium,open,ENG-014,MOD-003,
BUG-048,Dockerイメージのサイズが1GBを超えている,low,open,ENG-023,MOD-009,
BUG-049,本番環境のログローテーションが設定されていない,medium,open,ENG-028,MOD-014,
BUG-050,インフラのコスト最適化が未実施,low,open,ENG-030,MOD-010,
BUG-051,商品検索でUnicodeの正規化が行われていない,medium,open,ENG-015,MOD-002,REL-003
BUG-052,決済APIのタイムアウト設定が短すぎる,high,open,ENG-024,MOD-003,REL-002
BUG-053,iOSアプリのバッテリー消費が激しい,medium,open,ENG-026,MOD-005,REL-005
BUG-054,Android端末によってUIレイアウトが崩れる,medium,in_progress,ENG-009,MOD-006,
BUG-055,管理者のパスワード有効期限が設定されていない,high,open,ENG-027,MOD-007,REL-010
BUG-056,データウェアハウスへのETLが冪等でない,high,open,ENG-020,MOD-010,REL-007
BUG-057,推薦システムがコールドスタートを考慮していない,medium,open,ENG-021,MOD-011,
BUG-058,A/Bテストの終了条件が自動化されていない,low,open,ENG-013,MOD-012,
BUG-059,脆弱性レポートのメール通知が届かない,medium,open,ENG-011,MOD-013,REL-010
BUG-060,APIゲートウェイのキャッシュが正しくパージされない,high,open,ENG-029,MOD-015,REL-002
BUG-061,Frontend画面の初期ロードが5秒以上かかる,high,open,ENG-025,MOD-004,REL-002
BUG-062,検索結果のソート順が不安定,medium,open,ENG-015,MOD-002,
BUG-063,ユーザープロフィール画像のアップロードが失敗する,medium,open,ENG-006,MOD-001,
BUG-064,商品の在庫数がリアルタイムに反映されない,high,open,ENG-003,MOD-004,REL-002
BUG-065,決済後のカート内容が残る,medium,open,ENG-024,MOD-003,
BUG-066,iOSアプリのVoiceOver対応が不完全,low,open,ENG-004,MOD-005,
BUG-067,Android版アプリストアのレビューが反映されない,low,open,ENG-026,MOD-006,
BUG-068,管理画面でCSVインポートが失敗する,medium,in_progress,ENG-008,MOD-007,
BUG-069,月次レポートの合計値が合わない,high,open,ENG-017,MOD-008,
BUG-070,データパイプラインの監視アラートが機能しない,high,open,ENG-012,MOD-009,REL-007
BUG-071,機械学習モデルのデプロイ後にAPIが落ちる,critical,open,ENG-021,MOD-011,REL-009
BUG-072,A/Bテストの結果がダッシュボードに反映されない,medium,open,ENG-013,MOD-012,
BUG-073,脆弱性スキャナがCVEデータベースを更新しない,high,open,ENG-019,MOD-013,REL-010
BUG-074,アクセスログに個人情報が含まれている,critical,open,ENG-011,MOD-014,REL-010
BUG-075,APIゲートウェイでリクエストが稀にドロップする,high,open,ENG-022,MOD-015,REL-002
BUG-076,通知のパーソナライズが機能していない,medium,open,ENG-016,MOD-016,
BUG-077,DataEngineeringチームのジョブスケジューラが重複起動する,high,open,ENG-020,MOD-009,REL-007
BUG-078,機械学習のバッチ推論が週末にスキップされる,high,open,ENG-021,MOD-011,
BUG-079,セキュリティスキャンが深夜に本番DBを参照する,critical,open,ENG-019,MOD-013,REL-010
BUG-080,プラットフォームチームのKubernetesポッドが頻繁に再起動する,high,in_progress,ENG-023,MOD-009,REL-007
BUG-081,Backendのメモリ使用量が時間で増加する,high,open,ENG-014,MOD-003,REL-002
BUG-082,Frontend のホットリロードが動作しない,low,open,ENG-025,MOD-004,
BUG-083,MobileチームのCI環境でコードサインのキーがExpireしている,critical,open,ENG-026,MOD-005,REL-005
BUG-084,QAチームの自動テストが環境依存で失敗する,medium,open,ENG-027,MOD-007,
BUG-085,DevOpsの監視ダッシュボードが一部のメトリクスを表示しない,medium,open,ENG-028,MOD-009,
BUG-086,SecurityチームのSIEMアラートが誤作動する,medium,in_progress,ENG-011,MOD-014,
BUG-087,DataEngineeringのSparkジョブがOOMで失敗する,critical,open,ENG-012,MOD-010,REL-007
BUG-088,MLモデルの予測に偏り（バイアス）が検出された,high,open,ENG-013,MOD-011,REL-009
BUG-089,APIチームのOpenAPIドキュメントが古い,low,open,ENG-029,MOD-015,
BUG-090,プラットフォームのオートスケールが機能しない,high,open,ENG-030,MOD-009,REL-007
BUG-091,ユーザー行動ログのサンプリングレートが高すぎる,medium,open,ENG-020,MOD-014,
BUG-092,推薦APIのレスポンスタイムが2秒を超える,high,open,ENG-021,MOD-011,REL-009
BUG-093,脆弱性スキャンレポートが暗号化されていない,high,open,ENG-019,MOD-013,REL-010
BUG-094,APIゲートウェイのSSL証明書の有効期限が切れそう,critical,open,ENG-022,MOD-015,REL-002
BUG-095,データウェアハウスのバックアップが失敗している,critical,open,ENG-020,MOD-010,REL-007
BUG-096,Androidのアプリ内購入フローが失敗する,critical,open,ENG-009,MOD-006,REL-005
BUG-097,iOS端末によってフォントが異なる,low,open,ENG-004,MOD-005,
BUG-098,管理者画面の操作ログが記録されていない,high,open,ENG-008,MOD-007,REL-010
BUG-099,レポートのグラフがExportで消える,medium,open,ENG-010,MOD-008,
BUG-100,決済モジュールの負荷試験で10%のリクエストが失敗する,critical,open,ENG-001,MOD-003,REL-002
